gene_set,gene_symbol,pathway_level,regulatory_role,cell_type,pmids,reference_gene_set
IMMPRINT_FATTY_ACID_OXIDATION,ACAA2,2,none,pan,8241273,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,ETFA,3,none,pan,3170610,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,ETFB,3,none,pan,8504797,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_FATTY_ACID_OXIDATION,PPARA,2,none,pan,10377439,GOBP_FATTY_ACID_BETA_OXIDATION
IMMPRINT_GLYCOLYSIS,SLC2A1,1,none,pan,3839598,GOBP_MONOSACCHARIDE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,SLC2A3,1,none,pan,3170580,GOBP_MONOSACCHARIDE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,HK1,2,none,pan,3207429,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,HK2,2,none,pan,8250948,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,GPI,2,none,pan,8575767,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,PFKL,2,none,pan,2533063,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,PFKM,2,none,pan,2822475,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,PFKP,2,none,pan,8117307,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,ALDOA,2,none,pan,3840020,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,PGK1,2,none,pan,6188151,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,PGAM1,2,none,pan,2846553,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,ENO1,2,none,pan,3529090,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,PKM,2,none,pan,2854097,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,LDHA,3,none,pan,3838278,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,LDHB,3,none,pan,2930497,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,SLC16A1,1,none,pan,36104287,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,SLC16A3,1,none,pan,36104287,HALLMARK_GLYCOLYSIS
IMMPRINT_GLYCOLYSIS,PDK1,2,none,pan,7499431,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_GLYCOLYSIS,HIF1A,2,none,pan,8089148,GOBP_PYRUVATE_METABOLIC_PROCESS
IMMPRINT_IFNA_IFNB_SIGNALLING,IFNAR1,1,none,pan,2153461,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
