gene_set,cell_type,gene_symbol,pathway_level,pmids,reference_gene_set
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C1QC,1,1706597,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C1R,2,10092586,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C1S,2,3500856,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C2,2,6199794,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C3,3,2579379,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C4A,3,6546707,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C4B,3,6546707,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C5,3,1984448,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C6,3,2808363,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C7,3,3335508,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C8A,3,2820471,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C8B,3,2820472,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C8G,3,3676249,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,C9,3,6095282,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,CFB,2,6957884,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,CFD,2,1374388,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,MBL2,1,2477486,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,MASP1,2,1460414,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,MASP2,2,9087411,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,FCN1,1,8573080,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_COMPLEMENT_PRODUCTION,pan,CFP,2,2009915,REACTOME_COMPLEMENT_CASCADE
IMMPRINT_CTLA4_SIGNALLING,pan,CTLA4,1,7882171,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,pan,PPP2CA,2,11021529,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,pan,PPP2R1A,2,11021529,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,pan,PTPN11,2,8638161,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,pan,PTPN6,2,23601194,REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY
IMMPRINT_CTLA4_SIGNALLING,pan,CD80,1,1714933,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,pan,CD86,1,7534620,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,pan,CD28,1,7534620,REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY
IMMPRINT_CTLA4_SIGNALLING,pan,AKT1,2,16227604,REACTOME_CO_INHIBITION_BY_CTLA4
IMMPRINT_CTLA4_SIGNALLING,pan,AP2M1,2,9256472;9175836,
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,PRF1,3,8164737,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,GZMA,3,3257574,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,GZMB,3,8137431,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,GZMH,3,2049336,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,GZMM,3,7713495,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,GNLY,3,2434598,GOBP_CELL_KILLING
IMMPRINT_CYTOLYTIC_ACTIVITY,pan,NKG7,2,32839608,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
